ALOT	a lot
ATLEAST	at least
ATMOST	at most
DISCJOCKEY	disc jockey
DISKJOCKEY	disk jockey
HANDSOAP	hand soap
HANDSOAPS	hand soaps
ICECREAM	ice cream
LEAFBLOWER	leaf blower
LEAFBLOWERS	leaf blowers
SPHENOPALATINEGANGLIONEURALGIA	sphenopalatine ganglioneuralgia
WELLESTABLISHED	well established
BALLSACK	ball sack
HIGHSCHOOL	high school
HIGHSCHOOLS	high schools
LAPDANCE	lap dance
LAPDANCES	lap dances
LAPDANCING	lap dancing
LAPDANCER	lap dancer
LAPDANCED	lap danced
UPSIDEDOWN	upside down
